pna,ao,soi,dxs,dD,unc,dO,unc.1,amount [mL],date
-0.243,-0.867,11.72,15.29583647,-59.87882913,1.035566361,-9.3968332,0.386102879,1020.464286,11/8/03
-0.324,-0.113,8.76,14.28432,-64.08370426,1.037363644,-9.796003033,0.386276535,1015.642857,11/9/03
-0.637,0.719,10.16,13.27280354,-68.2885794,1.039160928,-10.19517287,0.386450192,1010.821429,11/10/03
-0.582,1.015,-1.63,12.26128707,-72.49345453,1.040958212,-10.5943427,0.386623848,1006,11/11/03
-0.31,1.301,-14.25,12.34705838,-71.50516605,1.0386113,-10.48152805,0.386657033,1004.579592,11/12/03
0.124,0.813,-17.38,12.43282969,-70.51687758,1.036264387,-10.36871341,0.386690218,1003.159184,11/13/03
0.368,0.109,-17.05,12.518601,-69.5285891,1.033917475,-10.25589876,0.386723403,1001.738776,11/14/03
0.171,-0.382,-6.25,12.60437232,-68.54030063,1.031570562,-10.14308412,0.386756589,1000.318367,11/15/03
-0.171,0.587,-6.25,12.69014363,-67.55201215,1.02922365,-10.03026947,0.386789774,998.8979592,11/16/03
-0.549,1.531,-4.19,12.77591494,-66.56372367,1.026876737,-9.917454827,0.386822959,997.477551,11/17/03
-0.851,1.479,-6.74,12.86168625,-65.5754352,1.024529825,-9.804640181,0.386856144,996.0571429,11/18/03
-1.186,0.872,-8.64,12.94745756,-64.58714672,1.022182912,-9.691825535,0.386889329,994.6367347,11/19/03
-1.354,0.191,-16.89,13.03322887,-63.59885824,1.019836,-9.57901089,0.386922514,993.2163265,11/20/03
-1.32,0.481,-22.58,13.11900018,-62.61056977,1.017489088,-9.466196244,0.386955699,991.7959184,11/21/03
-1.391,1.252,-15.32,13.2047715,-61.62228129,1.015142175,-9.353381599,0.386988885,990.3755102,11/22/03
-1.208,2.045,-8.81,13.29054281,-60.63399282,1.012795263,-9.240566953,0.38702207,988.955102,11/23/03
-1.278,2.845,-6.91,13.37631412,-59.64570434,1.01044835,-9.127752308,0.387055255,987.5346939,11/24/03
-1.645,2.317,-1.55,13.46208543,-58.65741586,1.008101438,-9.014937662,0.38708844,986.1142857,11/25/03
